,GeneStableID,GeneName,GeneDescription,baseMean,log2FC,padj,neglogpadj
5533,ENSGALG00000014908,FST,follistatin [Source:NCBI gene;Acc:396119],7650.747758848491,-1.90781803306099,7.47805439666632e-07,6.126211380036828
5819,ENSGALG00000026081,RBM38,RNA binding motif protein 38 [Source:NCBI gene;Acc:768866],1256.8927258104302,-1.28906439392801,4.14735816108994e-06,5.3822284578435164
6074,ENSGALG00000001172,KBP,kainate binding protein [Source:NCBI gene;Acc:396300],523.463547387528,-1.40630035593871,5.77814136131022e-06,5.2382118374163635
6154,ENSGALG00000006763,EXOC6,exocyst complex component 6 [Source:NCBI gene;Acc:423807],2035.52732629818,-1.04256381013635,7.5108972753533406e-06,5.124308177715209
6175,ENSGALG00000010342,OTOGL,otogelin-like [Source:NCBI gene;Acc:772154],419.249872607715,2.9599819181901603,1.5804193777670498e-05,4.801227654005962
6215,ENSGALG00000036255,WNT7B,Wnt family member 7B [Source:NCBI gene;Acc:427937],51.4949730023738,3.23248884634781,1.5804193777670498e-05,4.801227654005962
6407,ENSGALG00000016293,BMP5,bone morphogenetic protein 5 [Source:NCBI gene;Acc:396053],2420.87532006646,-1.28080414215591,1.5804193777670498e-05,4.801227654005962
6951,ENSGALG00000010436,DMBX1,diencephalon/mesencephalon homeobox 1 [Source:NCBI gene;Acc:395271],190.724204931342,-2.22680371691269,1.5804193777670498e-05,4.801227654005962
7172,ENSGALG00000004657,FBXO2,F-box protein 2 [Source:NCBI gene;Acc:419495],542.302353758649,-1.59607463267731,2.64351479703135e-05,4.577818254295723
7318,ENSGALG00000013225,VAT1L,vesicle amine transport 1 like [Source:NCBI gene;Acc:430410],445.07659806106795,-1.60914134226806,2.7662045212008698e-05,4.558115713183572
7450,ENSGALG00000029378,ITGA9,integrin subunit alpha 9 [Source:NCBI gene;Acc:420757],969.2922142584309,1.31598498230565,5.7281015782721e-05,4.241989289147844
7513,ENSGALG00000001141,HES5,hes family bHLH transcription factor 5 [Source:NCBI gene;Acc:419392],158.339910596387,2.0487087356360503,8.048212226960992e-05,4.0943005800288494
8542,ENSGALG00000000678,CITED4,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4 [Source:NCBI gene;Acc:395465],1071.21668025142,-1.4632786099642598,8.048212226960992e-05,4.0943005800288494
8582,ENSGALG00000007078,ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1 [Source:NCBI gene;Acc:423826],797.2201949912179,-2.0145353907445402,9.63403677847732e-05,4.016191700074806
8597,ENSGALG00000040730,RXRG,retinoid X receptor gamma [Source:NCBI gene;Acc:396231],425.099005834289,1.7507100319075,9.63403677847732e-05,4.016191700074806
8949,ENSGALG00000006662,BPIFB3,BPI fold containing family B member 3 [Source:NCBI gene;Acc:419289],532.493966189031,-1.5357561136845401,9.63403677847732e-05,4.016191700074806
8951,ENSGALG00000026091,CACNG4,calcium voltage-gated channel auxiliary subunit gamma 4 [Source:NCBI gene;Acc:373924],372.869625551636,-1.69562746345652,9.63403677847732e-05,4.016191700074806
9281,ENSGALG00000012732,PHACTR1,phosphatase and actin regulator 1 [Source:NCBI gene;Acc:395093],146.522954437383,1.77928486221495,9.81469928033943e-05,4.008123002522452
9568,ENSGALG00000034950,SMPD3,sphingomyelin phosphodiesterase 3 [Source:NCBI gene;Acc:415619],790.290428614352,1.60459287851706,0.00012535674586278302,3.901852290248623
11296,ENSGALG00000016912,EDNRB,endothelin receptor type B [Source:NCBI gene;Acc:408082],584.847518251482,1.5636281069696598,0.00014448915060188,3.8401647619775514
11356,ENSGALG00000040114,PTPRZ1,"protein tyrosine phosphatase, receptor type Z1 [Source:NCBI gene;Acc:396403]",689.249114010316,1.64915140177656,0.00016153663450938798,3.7917289695494496
11681,ENSGALG00000043690,ECRG4,"chromosome 1 open reading frame, human C2orf40 [Source:NCBI gene;Acc:771055]",286.941377069834,2.21511884037819,0.00016153663450938798,3.7917289695494496
11741,ENSGALG00000034567,POU4F3,POU class 4 homeobox 3 [Source:NCBI gene;Acc:395521],31.0873350147754,-4.20952724033287,0.00016153663450938798,3.7917289695494496
11829,ENSGALG00000037220,ASTL,astacin like metalloendopeptidase [Source:NCBI gene;Acc:423176],21997.062223678902,-1.21687196045902,0.000168531584662444,3.77331869562843
12104,ENSGALG00000036258,PCDH8,protocadherin 8 [Source:NCBI gene;Acc:428065],335.147788084195,-1.2350766156189699,0.0001822963955867,3.739221918247284
12185,ENSGALG00000030712,COL2A1,collagen type II alpha 1 chain [Source:NCBI gene;Acc:395069],1189.4217246595,1.4107946776806297,0.000183141476964901,3.737213287718746
12926,ENSGALG00000004590,CLCN6,chloride voltage-gated channel 6 [Source:NCBI gene;Acc:419488],773.703306391416,-1.3728523173103202,0.000183515640607866,3.736326915933845
13006,ENSGALG00000036471,RFTN2,raftlin family member 2 [Source:NCBI gene;Acc:424062],3449.43563783511,1.6794142584695,0.000206163822658329,3.6857875417600856
13010,ENSGALG00000013072,AKR1B10,aldo-keto reductase family 1 member B10 [Source:NCBI gene;Acc:395338],359.95630092094495,-1.06175479004507,0.000218065047155881,3.6614139403076913
13100,ENSGALG00000023886,ZNF804A,zinc finger protein 804A [Source:NCBI gene;Acc:423994],97.04867786000929,1.77401766566588,0.000218065047155881,3.6614139403076913
13268,ENSGALG00000008761,SPAM1,sperm adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:11217],103.46143197559,-1.9134987768661698,0.00022397780805666898,3.6497950098621716
13292,ENSGALG00000037050,FABP3,fatty acid binding protein 3 [Source:NCBI gene;Acc:419557],3154.34076017706,1.31549402134471,0.000224887122402575,3.6480354126373955
13448,ENSGALG00000007240,TRAIL-LIKE,TNF-related apoptosis inducing ligand-like [Source:NCBI gene;Acc:395283],43.4300652361119,-2.27192041739133,0.000236733087802646,3.6257410371877943
13480,ENSGALG00000010035,NR3C2,nuclear receptor subfamily 3 group C member 2 [Source:NCBI gene;Acc:374131],1252.5482231559802,1.24148944278821,0.000280387316736814,3.5522416354835356
13813,ENSGALG00000013948,RASL11B,RAS like family 11 member B [Source:NCBI gene;Acc:422756],1460.5085067432,1.65601562932008,0.000290031190810795,3.5375552942782855
13855,ENSGALG00000050840,APCDD1,APC down-regulated 1 [Source:NCBI gene;Acc:426765],418.195275436738,1.14430371300654,0.00032011614413614,3.4946924229116623
13955,ENSGALG00000003670,MAFB,MAF bZIP transcription factor B [Source:NCBI gene;Acc:419173],332.699293618757,1.7794657879099398,0.000331349917877599,3.47971313270925
14369,ENSGALG00000003193,CRABP-I,cellular retinoic acid binding protein 1 [Source:NCBI gene;Acc:374211],728.591399816255,1.47722947229368,0.000331532275314634,3.479474185784896
14513,ENSGALG00000012593,SLC28A3,solute carrier family 28 member 3 [Source:NCBI gene;Acc:427459],135.16155071112,-1.57344047473725,0.000371539683879798,3.429994792752444
14611,ENSGALG00000008629,MRC1,mannose receptor C-type 1 [Source:NCBI gene;Acc:420516],224.98920162870098,-2.12446403315211,0.000390925846321106,3.4079056149513436
14641,ENSGALG00000005120,FBLN2,fibulin 2 [Source:NCBI gene;Acc:427583],3812.11723025419,-1.0251871316583199,0.000390925846321106,3.4079056149513436
14721,ENSGALG00000013406,EOGT,EGF domain specific O-linked N-acetylglucosamine transferase [Source:NCBI gene;Acc:426961],1268.95938702513,1.20242002330652,0.000390925846321106,3.4079056149513436
14736,ENSGALG00000000866,SELENBP1,selenium binding protein 1 [Source:NCBI gene;Acc:425664],174.12191312085,-2.0812145421881003,0.000390925846321106,3.4079056149513436
14738,ENSGALG00000034196,WNT2B,Wnt family member 2B [Source:NCBI gene;Acc:374243],56.4257961817778,2.82864227534167,0.000431274745033153,3.3652459729087103
15044,ENSGALG00000040532,ZIC1,Zic family member 1 [Source:NCBI gene;Acc:374103],491.391063869999,-1.48262597363766,0.000606014470710827,3.2175170054132054
15367,ENSGALG00000049667,TAFA1,"family with sequence similarity 19 member A1, C-C motif chemokine like [Source:NCBI gene;Acc:416089]",550.8303748975251,-1.3781251258794498,0.000672222223047427,3.1724871342537257
15616,ENSGALG00000006503,VDAC1,voltage dependent anion channel 1 [Source:NCBI gene;Acc:416320],259.47543373487304,1.44888657008109,0.000772966513874818,3.1118393199942127
16144,ENSGALG00000005843,EEF1A2,eukaryotic translation elongation factor 1 alpha 2 [Source:NCBI gene;Acc:419244],189.03273522133,-1.33640668618684,0.000840492411329666,3.0754662033815943
16336,ENSGALG00000011855,RHOJ,ras homolog family member J [Source:NCBI gene;Acc:423513],349.3094680116,1.6866000081189298,0.0012022044718465199,2.9200216609168486
16908,ENSGALG00000008554,IL17REL,interleukin 17 receptor E like [Source:NCBI gene;Acc:769256],119.226499356928,2.82939738657377,0.00125436954847337,2.9015744976208184
16934,ENSGALG00000017302,SLCO2B1,solute carrier organic anion transporter family member 2B1 [Source:NCBI gene;Acc:419051],23.988064944908103,-4.18847793283035,0.00157284454457966,2.8033141996701283
17011,ENSGALG00000002325,IGFALS,insulin like growth factor binding protein acid labile subunit [Source:HGNC Symbol;Acc:HGNC:5468],15.9987769644698,-7.3770476911752905,0.00157284454457966,2.8033141996701283
17021,ENSGALG00000010645,ENPP6,ectonucleotide pyrophosphatase/phosphodiesterase 6 [Source:NCBI gene;Acc:422551],209.56076279430698,-1.66640653036181,0.00168370338403206,2.773734415226137
17069,ENSGALG00000005400,CACNA2D3,calcium voltage-gated channel auxiliary subunit alpha2delta 3 [Source:NCBI gene;Acc:415996],142.60286134440798,2.4451616833007797,0.00168370338403206,2.773734415226137
17095,ENSGALG00000014725,PLK2,polo like kinase 2 [Source:NCBI gene;Acc:427150],2370.5697261650103,1.46634871035508,0.0017820432111245398,2.7490817693645657
18023,ENSGALG00000003578,FN1,fibronectin 1 [Source:NCBI gene;Acc:396133],6880.55082662588,-1.4130952996076598,0.0017820432111245398,2.7490817693645657
19609,ENSGALG00000012623,CFC1,"cripto, FRL-1, cryptic family 1 [Source:NCBI gene;Acc:395437]",3361.08049476836,1.29630911489205,0.00185427134697099,2.731826712548962
19737,ENSGALG00000016721,PLCXD1,phosphatidylinositol specific phospholipase C X domain containing 1 [Source:NCBI gene;Acc:418673],112.877197658193,-1.4635976063500402,0.00196816762911203,2.705937915407694
19743,ENSGALG00000029892,LMO2,LIM domain only 2 [Source:NCBI gene;Acc:374129],884.3421965270711,-2.41440287342971,0.00196816762911203,2.705937915407694
19876,ENSGALG00000013640,MBP,myelin basic protein [Source:NCBI gene;Acc:396217],184.283719481128,1.24355341790852,0.00207160414124288,2.6836932294763423
20021,ENSGALG00000015022,FYN,"FYN proto-oncogene, Src family tyrosine kinase [Source:NCBI gene;Acc:396294]",2992.37990820526,0.8718189806493459,0.00207635459386462,2.6826984769274858
22198,ENSGALG00000037496,USP46,ubiquitin specific peptidase 46 [Source:NCBI gene;Acc:422758],1204.2342700457,0.9323400466407521,0.00207635459386462,2.6826984769274858
22301,ENSGALG00000046223,GPR21,G protein-coupled receptor 21 [Source:NCBI gene;Acc:772385],76.385500108895,-1.85723305286625,0.00209290278278285,2.6792509445621917
22349,ENSGALG00000009758,SLC7A11,solute carrier family 7 member 11 [Source:NCBI gene;Acc:428731],71.3589124179794,-1.79241481274398,0.0024157776623904,2.6169430387762005
23374,ENSGALG00000002223,LHX9,LIM homeobox 9 [Source:NCBI gene;Acc:396397],164.560409466116,1.49115313073241,0.0024157776623904,2.6169430387762005
23553,ENSGALG00000006819,AGBL1,ATP/GTP binding protein like 1 [Source:NCBI gene;Acc:427507],602.107237366715,-1.39506363253498,0.0024157776623904,2.6169430387762005
23565,ENSGALG00000003743,VPS37B,"VPS37B, ESCRT-I subunit [Source:NCBI gene;Acc:416835]",677.521070492505,0.978910677696891,0.0024157776623904,2.6169430387762005
23835,ENSGALG00000035580,MPP2,membrane palmitoylated protein 2 [Source:NCBI gene;Acc:420006],142.500843259241,-1.25730836841207,0.0024157776623904,2.6169430387762005
23943,ENSGALG00000034722,TLR2A,toll-like receptor 2 family member A [Source:NCBI gene;Acc:374141],374.63441552552905,-1.3663264661285002,0.00243172834472575,2.614084942958592
24143,ENSGALG00000015253,COL8A1,collagen type VIII alpha 1 chain [Source:NCBI gene;Acc:418378],20.7813097162229,3.5191133194352595,0.00244076020891736,2.6124748854985906
24336,ENSGALG00000012179,SOCS4,suppressor of cytokine signaling 4 [Source:NCBI gene;Acc:423557],445.043275777771,1.18802214452146,0.00258714388247293,2.5871794175817153
24408,ENSGALG00000000653,CNTN2,contactin 2 [Source:NCBI gene;Acc:419825],1362.64114017874,-1.6051184345573402,0.00271744328696838,2.565839510871364
25164,ENSGALG00000035191,PRLHR2,prolactin releasing peptide receptor-like [Source:NCBI gene;Acc:428834],149.161742368548,-2.08027366676979,0.00296940904406762,2.5273299730522267
25192,ENSGALG00000014324,SLC2A14,solute carrier family 2 member 14 [Source:NCBI gene;Acc:396517],6549.20869294161,-0.875505557921897,0.00302508067871122,2.51926303825057
25388,ENSGALG00000039673,GALNS,galactosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4122],693.4181970299339,-1.07329489150176,0.00302508067871122,2.51926303825057
25462,ENSGALG00000040780,UBAP2,ubiquitin associated protein 2 [Source:NCBI gene;Acc:407091],958.2122357820269,-1.5472173378997298,0.00314702820091,2.5020993653026293
25472,ENSGALG00000006882,ST8SIA2,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2 [Source:NCBI gene;Acc:414336]",113.32249114111,-1.52380502080222,0.0031716368566711,2.4987165439812538
25682,ENSGALG00000016261,CYBB,cytochrome b-245 beta chain [Source:NCBI gene;Acc:418581],340.43151425525,-1.28249551384133,0.00334673026013705,2.4753792895109985
26043,ENSGALG00000011106,GALNT2,polypeptide N-acetylgalactosaminyltransferase 2 [Source:NCBI gene;Acc:421540],394.966853397658,1.18931806552972,0.00355207811032115,2.449517492637674
26247,ENSGALG00000015970,COL9A1,collagen type IX alpha 1 chain [Source:NCBI gene;Acc:771873],1315.05342519067,1.5696326643989797,0.00355207811032115,2.449517492637674
26292,ENSGALG00000004623,AGTRAP,angiotensin II receptor associated protein [Source:HGNC Symbol;Acc:HGNC:13539],5798.74205487385,-1.45685083376293,0.00355207811032115,2.449517492637674
26412,ENSGALG00000009239,TLR2B,toll-like receptor 2 family member B [Source:NCBI gene;Acc:769014],133.834670514999,-1.4348754636311,0.00366627468199551,2.4357750002559544
26508,ENSGALG00000012290,SOX10,SRY-box 10 [Source:NCBI gene;Acc:395573],4029.80908218784,1.4754903012402498,0.0036731624778198703,2.4349598607481067
27444,ENSGALG00000014645,MEF2C,myocyte enhancer factor 2C [Source:NCBI gene;Acc:769007],782.3862444248531,2.36993269433448,0.00368088907929546,2.434047269479636
32007,ENSGALG00000052760,ATOH7,atonal bHLH transcription factor 7 [Source:NCBI gene;Acc:395388],56.3134328637953,2.3938430292615496,0.00369039094179755,2.432927624390514
32150,ENSGALG00000039935,PDE1C,phosphodiesterase 1C [Source:NCBI gene;Acc:420752],121.972358648202,1.80935120987434,0.0037527730940336897,2.425647693777213
32226,ENSGALG00000012964,ANKH,ANKH inorganic pyrophosphate transport regulator [Source:NCBI gene;Acc:420917],222.088632432185,1.24305705927128,0.00392759473526569,2.4058733307929074
32306,ENSGALG00000036969,KLHL14,kelch like family member 14 [Source:NCBI gene;Acc:421100],253.97178216806702,1.2625610620347099,0.00392759473526569,2.4058733307929074
32362,ENSGALG00000008302,CIB4,calcium and integrin binding family member 4 [Source:NCBI gene;Acc:770162],1486.08556699734,-0.9532291737452879,0.00425462622556327,2.3711385872375623
34722,ENSGALG00000020575,ERMN,ermin [Source:NCBI gene;Acc:771826],57.6632236187043,1.72892290670747,0.00429884658151978,2.366648053833517
34854,ENSGALG00000006138,HELZ2,helicase with zinc finger 2 [Source:NCBI gene;Acc:419265],208.086450620904,-1.52213453809855,0.00442802517172014,2.353789918979384
34964,ENSGALG00000027213,ALX1,ALX homeobox 1 [Source:NCBI gene;Acc:427871],515.269766831868,-1.08702495098513,0.00456732906077946,2.340337697801246
35464,ENSGALG00000008999,AFAP1L2,actin filament associated protein 1 like 2 [Source:NCBI gene;Acc:423908],90.6506974454853,-1.9555755566525,0.00470799100445727,2.32716437563283
35704,ENSGALG00000026674,CIB2,calcium and integrin binding family member 2 [Source:NCBI gene;Acc:415363],436.57024137563303,1.05099662061057,0.00472903093659536,2.3252278448873636
35920,ENSGALG00000003456,CA12,carbonic anhydrase 12 [Source:NCBI gene;Acc:415370],181.04505645244097,1.69112132601425,0.00472903093659536,2.3252278448873636
35956,ENSGALG00000041353,TP53INP1,tumor protein p53 inducible nuclear protein 1 [Source:NCBI gene;Acc:420232],2712.95765324024,-0.8187601933229549,0.00478395055825877,2.3202133173947184
36435,ENSGALG00000026594,HS3ST5,heparan sulfate-glucosamine 3-sulfotransferase 5 [Source:NCBI gene;Acc:428621],13.395804464852601,-4.27355678340455,0.0048228185059504295,2.316699081297552
36498,ENSGALG00000007945,CRYAB,crystallin alpha B [Source:NCBI gene;Acc:396089],474.672824085954,1.4591938754721698,0.00496006105589,2.3045129775273603
37224,ENSGALG00000011016,PGM1,phosphoglucomutase 1 [Source:NCBI gene;Acc:424691],1083.34235969278,-0.7627159989708141,0.00516394331550868,2.287018533620355
37266,ENSGALG00000006252,LMO4,LIM domain only 4 [Source:NCBI gene;Acc:373901],1886.56542048642,1.31858071511318,0.00520559509247744,2.2835296157007745
37608,ENSGALG00000009495,FGFR2,fibroblast growth factor receptor 2 [Source:NCBI gene;Acc:396259],2121.33267755816,-0.9802353411005551,0.0053433637082363605,2.2721852635666506
38288,ENSGALG00000036728,PRDM16,PR/SET domain 16 [Source:NCBI gene;Acc:419388],96.2583277828849,2.23817906148737,0.0053433637082363605,2.2721852635666506
38888,ENSGALG00000030303,PPP1R3B,protein phosphatase 1 regulatory subunit 3B [Source:NCBI gene;Acc:422630],357.820452404393,-1.4753697645703603,0.00553214244659165,2.2571066458128626
38972,ENSGALG00000040342,ADAMTS1,ADAM metallopeptidase with thrombospondin type 1 motif 1 [Source:NCBI gene;Acc:418479],146.045088884184,1.27714498034964,0.00559624082417328,2.2521036046950167
39257,ENSGALG00000042193,AvBD5,avian beta-defensin 5 [Source:NCBI gene;Acc:414340],32.5632894155055,3.24166978107701,0.00559624082417328,2.2521036046950167
39329,ENSGALG00000001933,CORO2A,coronin 2A [Source:NCBI gene;Acc:427373],54.55826269948461,-3.51173381798475,0.0056673710807064,2.246618350261811
39341,ENSGALG00000035824,ARSA,arylsulfatase A [Source:NCBI gene;Acc:426863],172.585147512342,-1.18291810165681,0.00587395854012035,2.2310691231622988
39371,ENSGALG00000039311,SMAGP,small cell adhesion glycoprotein [Source:NCBI gene;Acc:107055421],145.589330658343,-1.46504857730114,0.00587395854012035,2.2310691231622988
39401,ENSGALG00000009803,MGST2,microsomal glutathione S-transferase 2 [Source:NCBI gene;Acc:770916],46.2658356082426,1.82334161922792,0.00625907755050304,2.203489667467811
39819,ENSGALG00000002804,RND2,Rho family GTPase 2 [Source:NCBI gene;Acc:428307],212.389083293428,-1.26165143023641,0.00640984124019144,2.193152727012019
40180,ENSGALG00000005974,COL6A1,collagen type VI alpha 1 chain [Source:NCBI gene;Acc:396000],54.093049342301704,-1.7636026531626499,0.00675860309486754,2.1701430571472997
40268,ENSGALG00000009047,YPEL5,yippee like 5 [Source:NCBI gene;Acc:421299],2991.09079856073,-0.6894742185947988,0.00676054793820636,2.170018103334153
40278,ENSGALG00000043035,SHISA2,shisa family member 2 [Source:NCBI gene;Acc:395162],5286.839879658761,-0.975482139094898,0.007140781383970759,2.1462542627085246
40318,ENSGALG00000013929,PDGFRA,"platelet-derived growth factor receptor, alpha polypeptide [Source:NCBI gene;Acc:395509]",1093.75109402375,1.1084660763738101,0.00724314288346128,2.1400729475085583
41822,ENSGALG00000005426,FREM1,FRAS1 related extracellular matrix 1 [Source:NCBI gene;Acc:427355],101.884121756602,2.1679030968274997,0.00730461553394995,2.1364026374816447
41852,ENSGALG00000008293,SH3PXD2A,SH3 and PX domains 2A [Source:NCBI gene;Acc:423876],2209.9180478204603,1.3518729095812902,0.00762678693720222,2.117658385942459
42047,ENSGALG00000001645,KCNT1,potassium sodium-activated channel subfamily T member 1 [Source:NCBI gene;Acc:395248],27.0655303021218,-3.75253585052518,0.00770208449461642,2.1133917213216518
42110,ENSGALG00000014933,HEXB,hexosaminidase subunit beta [Source:NCBI gene;Acc:427204],324.35373850865,1.26237571157521,0.007811055674305259,2.1072902666934525
48428,ENSGALG00000008603,ITPKA,inositol-trisphosphate 3-kinase A [Source:NCBI gene;Acc:395694],460.429608774039,0.9341105781678599,0.00781952265626332,2.106819757691846
48470,ENSGALG00000003329,GORAB,"golgin, RAB6 interacting [Source:NCBI gene;Acc:770613]",1313.1553543961802,-0.822677199647779,0.00851715770804072,2.069705311061664
48568,ENSGALG00000009405,GRIA2,glutamate ionotropic receptor AMPA type subunit 2 [Source:NCBI gene;Acc:414894],172.301049563795,1.2809566024536598,0.008859053814542241,2.052612660174639
48810,ENSGALG00000005318,OVCH2,ovochymase 1 [Source:NCBI gene;Acc:769290],97.459900704491,1.7980305265640102,0.00896694701071845,2.047355396653522
48825,ENSGALG00000007047,GAL,galanin and GMAP prepropeptide [Source:NCBI gene;Acc:423117],101.000466915679,1.33810840745035,0.00896694701071845,2.047355396653522
49153,ENSGALG00000006600,A4GNT,"alpha-1,4-N-acetylglucosaminyltransferase [Source:NCBI gene;Acc:429136]",22.533184334726602,-5.382522914341661,0.009027411297660371,2.0444367702094595
49195,ENSGALG00000033286,ARSJ,arylsulfatase family member J [Source:NCBI gene;Acc:101751638],82.2251441691212,-1.62173541455662,0.00906453970177093,2.0426542445256075
49220,ENSGALG00000020554,ADAMTSL1,ADAMTS like 1 [Source:NCBI gene;Acc:431603],100.271801305553,2.37653605118261,0.009150808934842509,2.03854051244616
49286,ENSGALG00000027207,PERP2,"PERP2, TP53 apoptosis effector [Source:NCBI gene;Acc:421682]",432.95292010377,-1.13612220607386,0.0101319602054461,1.9943065246245915
49289,ENSGALG00000042840,OSGIN2,oxidative stress induced growth inhibitor family member 2 [Source:NCBI gene;Acc:420217],490.13968006655097,1.02793142892247,0.010150511115795999,1.9935120888659312
49301,ENSGALG00000015898,MYO6,myosin VI [Source:NCBI gene;Acc:395487],393.580983492659,1.00728398338358,0.0101512218968277,1.9934816788236118
49763,ENSGALG00000005147,AMY1A,"amylase, alpha 1A; hepatic [Source:NCBI gene;Acc:414139]",858.805628014127,-1.02699669851565,0.0104023899358723,1.9828668706319816
49843,ENSGALG00000009641,COL1A2,collagen type I alpha 2 chain [Source:NCBI gene;Acc:396243],4123.04793757782,-1.2935041389995,0.0105317487834294,1.9774995087827927
50283,ENSGALG00000002742,TMEM132B,transmembrane protein 132B [Source:NCBI gene;Acc:416810],386.98701200080706,-1.01680672777973,0.0105317487834294,1.9774995087827927
50285,ENSGALG00000004907,KCTD15,potassium channel tetramerization domain containing 15 [Source:NCBI gene;Acc:415779],1767.8226241099499,-0.707263613662481,0.0105447029021013,1.9769656520359846
50297,ENSGALG00000028451,MT4,metallothionein 4 [Source:NCBI gene;Acc:396212],326.99018564413603,-1.54360668688424,0.0112764318425516,1.947828300728245
50429,ENSGALG00000004631,DRAXIN,dorsal inhibitory axon guidance protein [Source:NCBI gene;Acc:419492],8659.535065839009,-1.00687292727563,0.0114166861758931,1.9424599367532198
50539,ENSGALG00000014923,ARHGEF28,Rho guanine nucleotide exchange factor 28 [Source:NCBI gene;Acc:427201],77.4898612642758,1.6857782204811902,0.0114222070222411,1.9422499727124694
50554,ENSGALG00000011019,ROR1,receptor tyrosine kinase like orphan receptor 1 [Source:NCBI gene;Acc:395179],2951.8745338515196,-0.658775560658486,0.0114222070222411,1.9422499727124694
50806,ENSGALG00000011241,RFTN1,"raftlin, lipid raft linker 1 [Source:NCBI gene;Acc:395109]",85.06009190338621,1.4244048855871299,0.0114582856999047,1.9408803532903507
51228,ENSGALG00000034212,CFAP65,cilia and flagella associated protein 65 [Source:NCBI gene;Acc:424206],28.2905755158826,2.32931343760396,0.0118102968491689,1.9277391863546638
51408,ENSGALG00000014994,CRHBP,corticotropin releasing hormone binding protein [Source:NCBI gene;Acc:427214],1106.83508099803,-1.026130001238,0.0120070507739485,1.9205636528709589
51824,ENSGALG00000003733,LIFR,leukemia inhibitory factor receptor alpha [Source:NCBI gene;Acc:395262],358.94321910849504,1.3240218407500601,0.0120406340276235,1.9193506436887913
51950,ENSGALG00000002201,PPL,periplakin [Source:NCBI gene;Acc:408044],723.9490318262799,-1.40215796946216,0.0120406340276235,1.9193506436887913
52025,ENSGALG00000010137,TTC6,tetratricopeptide repeat domain 6 [Source:HGNC Symbol;Acc:HGNC:19739],55.44816590847879,-1.5774674459675402,0.0121042590867727,1.9170617889875559
52026,ENSGALG00000005909,GATA2,GATA binding protein 2 [Source:NCBI gene;Acc:416018],682.61097878928,-1.30082183863782,0.0121042590867727,1.9170617889875559
